id,name,description,url,stars,language,num_forks,open_issues
54346799,publicapis,collective list free APIs,https://api.github.com/repos/public-apis/public-apis,278839,Python,31309,237
83222441,systemdesignprimer,Learn design largescale systems Prep system design interview Includes Anki flashcards,https://api.github.com/repos/donnemartin/system-design-primer,245714,Python,42633,415
63476337,Python,Algorithms implemented Python,https://api.github.com/repos/TheAlgorithms/Python,175617,Python,43858,224
123458551,Python100Days,Python 100,https://api.github.com/repos/jackfrued/Python-100-Days,146346,Python,51102,706
1039520,youtubedl,Commandline program download videos YouTubecom video sites,https://api.github.com/repos/ytdl-org/youtube-dl,126899,Python,9785,4263
527591471,stablediffusionwebui,Stable Diffusion web UI,https://api.github.com/repos/AUTOMATIC1111/stable-diffusion-webui,120528,Python,23999,1869
155220641,transformers,Transformers Stateoftheart Machine Learning Pytorch TensorFlow JAX,https://api.github.com/repos/huggingface/transformers,119975,Python,24029,966
58028038,HelloGitHub,octocat GitHub Share interesting entrylevel open source projects GitHub,https://api.github.com/repos/521xueweihan/HelloGitHub,81929,Python,9672,94
33614304,thefuck,Magnificent app corrects previous console command,https://api.github.com/repos/nvbn/thefuck,81320,Python,3545,323
51117837,models,Models examples built TensorFlow,https://api.github.com/repos/tensorflow/models,76389,Python,46187,1205
552661142,langchain,Build contextaware reasoning applications,https://api.github.com/repos/langchain-ai/langchain,76217,Python,11646,2142
65600975,pytorch,Tensors Dynamic neural networks Python strong GPU acceleration,https://api.github.com/repos/pytorch/pytorch,75276,Python,20815,13396
160919119,fastapi,FastAPI framework high performance easy learn fast code ready production,https://api.github.com/repos/tiangolo/fastapi,67929,Python,5759,472
12888993,core,housewithgarden Open source home automation puts local control privacy,https://api.github.com/repos/home-assistant/core,67226,Python,27277,2931
307260205,ytdlp,youtubedl fork additional features fixes,https://api.github.com/repos/yt-dlp/yt-dlp,65756,Python,5427,1421
596892,flask,Python micro framework building web applications,https://api.github.com/repos/pallets/flask,65698,Python,16160,5
21872392,awesomemachinelearning,curated list awesome Machine Learning frameworks libraries software,https://api.github.com/repos/josephmisiti/awesome-machine-learning,62614,Python,14535,2
212639071,devopsexercises,Linux Jenkins AWS SRE Prometheus Docker Python Ansible Git Kubernetes Terraform OpenStack SQL NoSQL Azure GCP DNS Elastic Network Virtualization DevOps Interview Questions,https://api.github.com/repos/bregman-arie/devops-exercises,61696,Python,13375,26
145553672,funNLP,ITbertcocoNLPXLORENLUcs224n ASR MicrosoftapiSpaCy Common VoicebertKeyphrasepke4cnocrOCRPython3nlpspeechaligner AmpliGraph PythonScattertext pythonBERT ERNIENLPSynonymsHarvestTextword2wordPython623564ASRKashgarigpt2TextTeaser 14WandSiamese bilstmTransformerHacker NewsBERTLitBankNLP100Facebook LAMATransformerXLBERTELMoGPTCommonsenseQAQA PDF PPTSQLNLPEDANLP mongodbULMFiT qingyun seqGANmasr PythonBERTConvLabrasaTensorFlowBERTNLPTOPOpenCLaPUERg2pCZincbase jiebafast jiebaBERTPythonStanfordNLP 020PythonNeuralNLPNeuralClassifierNeuroNER vs BertNER2019GPT2MLNLP Machine LearningNLPnlp4hanNERNHMMXLMFacebookBERTCoupletAI CNNBiLSTMAttention MiningZhiDaoQACorpus 580brat rapid annotation tool 14nlpallennlpPDF GraphbrainAI OCR Python similarityjavaALBERT Transformers 20 Audioset Poplar 186Amazon Python wwsearchCHAMELEON 8BERTDocSearch LIDA aili fastest inmemory index East mecabPython featurizer baselinePySS3AISS3 NLPCOPE doccano PreNLPGPT2GPT2chitchatLeaderboardsDatasetsPapersColab NLP GitHub Typo CorpusGitHubTextCluster Short text clusterBLINKBertPuncBERTTokenizerspaCy NLP pythonchatbotlist MOSNet BSSEval STOI PESQ SRMR 138GBRoBERTa BERTNERPytorchBERTNER 2019NLP Chinese medical dialogue data awesomenlpsentimentanalysis LineFlowNLPNLP MedQuADTransfer Learning Natural Language Processing NLP TokenizersCLUENER Fine Grained Named Entity Recognition BERTNLPnlp Word EmbeddingNERText ClassificatinText GenerationText Similaritynlpkerastensorflow PythonNLP BlackstonespaCy pipelineNLP ELECTREA pretrain Chinese Model albertchinesener ALBERTNER GPT2 attnvisGPT2BERTtransformerCoVoSTFacebook11Jiagu BiLSTM unetNLP CLUEDatasetSearch NLPNLPNLP medicalNER Fortepipeline PythonPyLaiaTextFoolerHaystackQA,https://api.github.com/repos/fighting41love/funNLP,61543,Python,13953,23
33015583,keras,Deep Learning humans,https://api.github.com/repos/keras-team/keras,60285,Python,19534,191
3638964,ansible,Ansible radically simple automation platform makes applications systems easier deploy maintain Automate code deployment network configuration cloud management language approaches plain English SSH agents install remote systems httpsdocsansiblecom,https://api.github.com/repos/ansible/ansible,60278,Python,24026,866
81598961,cpython,Python programming language,https://api.github.com/repos/python/cpython,58269,Python,28885,8471
843222,scikitlearn,scikitlearn machine learning Python,https://api.github.com/repos/scikit-learn/scikit-learn,57338,Python,25116,2291
32689863,manim,Animation engine explanatory math videos,https://api.github.com/repos/3b1b/manim,56288,Python,5644,403
620936652,gpt4free,official gpt4free repository collection powerful language models,https://api.github.com/repos/xtekky/gpt4free,52476,Python,12854,105
616372661,gptacademic,GPTGLMLLMPythonCPDFLaTexLLMchatglm3 deepseekcoder llama2 rwkv claude2 moss,https://api.github.com/repos/binary-husky/gpt_academic,51492,Python,6704,180
71948498,localstack,fully functional local AWS cloud stack Develop test cloud Serverless apps offline,https://api.github.com/repos/localstack/localstack,51212,Python,3880,359
83844720,facerecognition,worlds simplest facial recognition api Python command line,https://api.github.com/repos/ageitgey/face_recognition,51039,Python,13342,759
1362490,requests,simple elegant HTTP library,https://api.github.com/repos/psf/requests,51006,Python,9335,272
529502,scrapy,Scrapy fast highlevel web crawling scraping framework Python,https://api.github.com/repos/scrapy/scrapy,50087,Python,10413,691
188660663,RealTimeVoiceCloning,Clone voice 5 seconds generate arbitrary speech realtime,https://api.github.com/repos/CorentinJ/Real-Time-Voice-Cloning,49890,Python,8509,185
601538369,llama,Inference code LLaMA models,https://api.github.com/repos/facebookresearch/llama,49563,Python,8566,311
634224458,gptengineer,Specify want build AI asks clarification builds,https://api.github.com/repos/gpt-engineer-org/gpt-engineer,48966,Python,7952,28
114747226,faceswap,Deepfakes Software,https://api.github.com/repos/deepfakes/faceswap,48438,Python,12921,19
635240594,privateGPT,Interact documents power GPT 100 privately data leaks,https://api.github.com/repos/imartinez/privateGPT,47379,Python,6332,100
162998479,sherlock,Hunt social media accounts username social networks,https://api.github.com/repos/sherlock-project/sherlock,46565,Python,5968,183
74627617,openpilot,openpilot open source driver assistance system openpilot performs functions Automated Lane Centering Adaptive Cruise Control 250 supported car makes models,https://api.github.com/repos/commaai/openpilot,46426,Python,8445,289
220809393,rich,Rich Python library rich text beautiful formatting terminal,https://api.github.com/repos/Textualize/rich,46319,Python,1719,246
40416236,biglistofnaughtystrings,Big List Naughty Strings list strings high probability causing issues userinput data,https://api.github.com/repos/minimaxir/big-list-of-naughty-strings,45689,Python,2235,100
264818686,yolov5,YOLOv5 PyTorch ONNX CoreML TFLite,https://api.github.com/repos/ultralytics/yolov5,45023,Python,15357,152
136026789,DeepFaceLab,DeepFaceLab leading software creating deepfakes,https://api.github.com/repos/iperov/DeepFaceLab,44459,Python,10079,548
254832799,hackingtool,Hacking Tool Hackers,https://api.github.com/repos/Z4nzu/hackingtool,41883,Python,4721,37
858127,pandas,Flexible powerful data analysis manipulation library Python providing labeled data structures similar R dataframe objects statistical functions,https://api.github.com/repos/pandas-dev/pandas,41171,Python,17207,3639
41058054,CppCoreGuidelines,C Core Guidelines set triedandtrue guidelines rules best practices coding C,https://api.github.com/repos/isocpp/CppCoreGuidelines,41021,Python,5478,252
666299222,openinterpreter,natural language interface computers,https://api.github.com/repos/KillianLucas/open-interpreter,40115,Python,3524,216
4578002,pythonpatterns,collection design patternsidioms Python,https://api.github.com/repos/faif/python-patterns,39007,Python,7014,13
613349035,ChatGLM6B,ChatGLM6B Open Bilingual Dialogue Language Model,https://api.github.com/repos/THUDM/ChatGLM-6B,37700,Python,5042,565
83119431,ailearning,AiLearningPyTorchNLTKTF2,https://api.github.com/repos/apachecn/ailearning,37411,Python,11409,2
70905478,DeepLearningPapersReadingRoadmap,Deep Learning papers reading roadmap eager learn amazing tech,https://api.github.com/repos/floodsung/Deep-Learning-Papers-Reading-Roadmap,37053,Python,7369,88
90563585,cheatsh,cheat sheet need,https://api.github.com/repos/chubin/cheat.sh,37000,Python,1810,130
154747577,bert,TensorFlow code pretrained models BERT,https://api.github.com/repos/google-research/bert,36399,Python,9532,881
262296122,PaddleOCR,Awesome multilingual OCR toolkits based PaddlePaddle practical ultra lightweight OCR system support 80 languages recognition provide data annotation synthesis tools support training deployment server mobile embedded IoT devices,https://api.github.com/repos/PaddlePaddle/PaddleOCR,36364,Python,7099,1058
422274596,ColossalAI,Making large AI models cheaper faster accessible,https://api.github.com/repos/hpcaitech/ColossalAI,36350,Python,4171,379
577603990,OpenAssistant,OpenAssistant chatbased assistant understands tasks interact thirdparty systems retrieve information dynamically,https://api.github.com/repos/LAION-AI/Open-Assistant,36286,Python,3302,284
873328,sentry,Developerfirst error tracking performance monitoring,https://api.github.com/repos/getsentry/sentry,36245,Python,4093,2042
125266328,black,uncompromising Python code formatter,https://api.github.com/repos/psf/black,36143,Python,2383,371
191113739,interviewinternalreference,2023,https://api.github.com/repos/0voice/interview_internal_reference,35822,Python,9458,30
118861276,pythoncheatsheet,Comprehensive Python Cheatsheet,https://api.github.com/repos/gto76/python-cheatsheet,34956,Python,6359,24
101684374,wtfpython,fck Python,https://api.github.com/repos/satwikkansal/wtfpython,34818,Python,2723,78
608555244,TaskMatrix,description,https://api.github.com/repos/moymix/TaskMatrix,34451,Python,3407,250
642323624,DragGAN,Official Code DragGAN SIGGRAPH 2023,https://api.github.com/repos/XingangPan/DragGAN,34415,Python,3985,142
569927055,stablediffusion,HighResolution Image Synthesis Latent Diffusion Models,https://api.github.com/repos/Stability-AI/stablediffusion,34267,Python,4555,249
660551251,MetaGPT,MultiAgent Framework Given line Requirement return PRD Design Tasks Repo,https://api.github.com/repos/geekan/MetaGPT,34178,Python,4059,208
237791077,diagrams,art Diagram Code prototyping cloud system architectures,https://api.github.com/repos/mingrammer/diagrams,33935,Python,2217,357
349321229,GFPGAN,GFPGAN aims developing Practical Algorithms Realworld Face Restoration,https://api.github.com/repos/TencentARC/GFPGAN,33935,Python,5707,321
519832,mitmproxy,interactive TLScapable intercepting HTTP proxy penetration testers software developers,https://api.github.com/repos/mitmproxy/mitmproxy,33552,Python,3957,322
57222302,gym,toolkit developing comparing reinforcement learning algorithms,https://api.github.com/repos/openai/gym,33507,Python,8711,80
33884891,airflow,Apache Airflow platform programmatically author schedule monitor workflows,https://api.github.com/repos/apache/airflow,33438,Python,13476,871
206462776,GitHubChineseTopCharts,cn GitHub,https://api.github.com/repos/GrowingGit/GitHub-Chinese-Top-Charts,81267,Java,11498,153
160640094,LeetCodeAnimation,Demonstrate questions LeetCode form animationLeetCode,https://api.github.com/repos/MisterBooo/LeetCodeAnimation,74650,Java,14058,18
127988011,mall,mallSpringBootMyBatisDocker,https://api.github.com/repos/macrozheng/mall,73686,Java,28145,36
151834062,advancedjava,Core Interview Questions Answers Experienced JavaBackend Developers Java,https://api.github.com/repos/doocs/advanced-java,73332,Java,18846,3
507775,elasticsearch,Free Open Distributed RESTful Search Engine,https://api.github.com/repos/elastic/elasticsearch,66695,Java,24185,4756
