id,name,owner_login,owner_type,description,stars,url,updated_at,language
584564666,AutoNewProject,felixggj,User,Python Script to Automate New Project Creation,1,https://api.github.com/repos/felixggj/AutoNewProject,2023-02-07T10:31:02Z,Python
690470709,bank-system,felixggj,User,DevOps Course Assignment 1,0,https://api.github.com/repos/felixggj/bank-system,2023-10-13T11:03:24Z,Vue
678135113,chat-pdf,felixggj,User,App to Chat with multiple PDFs using OpenAI,1,https://api.github.com/repos/felixggj/chat-pdf,2023-09-27T02:17:58Z,Python
658115585,dashboard-react,felixggj,User,Dashboard React application using Material UI,0,https://api.github.com/repos/felixggj/dashboard-react,2023-06-27T09:19:33Z,JavaScript
661396972,face-recognition-app,felixggj,User,Attendance tracking application using OpenCV and Firebase,0,https://api.github.com/repos/felixggj/face-recognition-app,2023-07-07T21:27:55Z,Python
579793974,image-classification,felixggj,User,Deep Learning Image Classification model which detects whether a person is happy or sad,0,https://api.github.com/repos/felixggj/image-classification,2023-06-27T09:21:03Z,Jupyter Notebook
725167058,msdocs-python-flask-webapp-quickstart,felixggj,User,No description,0,https://api.github.com/repos/felixggj/msdocs-python-flask-webapp-quickstart,2023-12-05T06:44:24Z,Bicep
580969693,multi-person-pose-detection,felixggj,User,Deep Learning model using the Lighting Model to detect 17 different keypoints in a human body,0,https://api.github.com/repos/felixggj/multi-person-pose-detection,2023-06-27T09:22:37Z,Jupyter Notebook
652189188,stock-news-summarizer,felixggj,User,"Python-based pipeline that enables the extraction, condensation, and sentiment analysis of news related to stocks.",1,https://api.github.com/repos/felixggj/stock-news-summarizer,2023-06-27T09:38:11Z,Jupyter Notebook
706102755,tic-tac-toe,felixggj,User,tic tac toe implemention in C ,0,https://api.github.com/repos/felixggj/tic-tac-toe,2023-10-17T11:40:35Z,C
